CZ,Horizon,InputHist,InputMete,InputNWP,InputST,ModClass,Reference,ResMin,SS,TestLength,TrainLength,Type,Year
B,1440,1,0,0,0,ML,Persistence,60,26.8106734434562,28,365,Sources,2021
C,2880,1,0,0,1,TS,Persistence,60,13,184,181,PV,2018
B,120,1,1,0,1,Reg,SP,60,8.491,350,700,Sources,2015
A,60,1,1,0,0,ML,SP,60,11.78,365,3285,Sources,2021
B,60,1,1,0,0,Ens,Persistence,60,9,365,183,Sources,2019
N,180,1,1,0,0,Reg,SP,60,31.262,350,700,Sources,2015
C,60,1,1,0,0,Hybrid,SP,60,11.96,365,3285,Sources,2021
E,60,1,1,0,0,Ens,Persistence,60,-3,365,183,Sources,2019
C,60,1,1,0,0,ML,SP,5,30.6,146,183,Sources,2015
C,120,1,1,0,0,Reg,SP,60,9.188,350,700,Sources,2015
C,60,1,1,0,0,ML,SP,60,23.53,122,5114,Sources,2020
B,1440,1,0,0,0,ML,Persistence,360,27.3,183,365,Sources,2017
B,60,1,1,0,1,Reg,SP,60,4.018,350,700,Sources,2015
D,30,1,1,0,0,ML,SP,10,12.46,731,1096,Sources,2022
C,60,1,1,0,1,Reg,SP,60,11.238,350,700,Sources,2015
C,120,0,0,0,0,ImageBased,SP,60,14.5,365,1675,Sources,2018
C,60,1,1,0,1,ML,SP,60,32.7140518030504,90,1460,Sources,2021
D,60,1,1,0,0,ML,SP,10,31.05,731,1096,Sources,2020
C,120,1,1,0,0,ML,SP,15,15.5,274,548,Sources,2020
C,60,1,1,0,1,Reg,SP,60,11.983,350,700,Sources,2015
C,2880,0,1,1,0,ImageBased,SP,60,32.0754716981132,365,0,Sources,2015
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,30,184,181,PV,2018
C,60,1,1,0,0,ML,PerClim,60,-1.41,366,730,Sources,2021
C,1440,0,0,1,1,ML,Persistence,60,53.5,365,2556,Sources,2018
D,30,1,0,0,0,TS,SP,30,2.74,365,365,Sources,2018
C,60,1,0,0,0,ImageBased,Persistence,60,-26.5,183,365,Sources,2017
E,15,1,0,0,0,ML,Persistence,15,-27.5,183,365,Sources,2017
A,360,1,1,0,0,TS,Persistence,60,53.5140347118063,365,366,Sources,2015
E,60,1,1,0,0,Ens,Persistence,60,16,365,183,Sources,2019
C,180,0,0,0,0,ImageBased,SP,60,18.6,365,1675,Sources,2018
B,1440,1,0,0,0,ML,Persistence,60,32.6560768378279,31,365,Sources,2021
C,2880,1,0,1,1,TS,Persistence,60,24.2,365,365,PV,2019
B,300,0,1,0,0,ML,SP,60,25.15,91,274,Sources,2016
