CZ,Horizon,InputHist,InputMete,InputNWP,InputST,ModClass,Reference,ResMin,SS,TestLength,TrainLength,Type,Year
C,150,1,0,1,0,TS,SP,15,24.76,365,853,PV,2021
C,15,1,0,0,0,ImageBased,SP,5,25.7,109.770833333333,154.1875,Sources,2018
B,60,1,1,0,0,Reg,Persistence,60,65.5126498002663,365,1095,Sources,2022
C,2880,1,0,0,1,Ens,Persistence,60,15,184,181,PV,2018
A,1440,1,1,0,0,ML,Persistence,60,65.8,365,1096,Sources,2017
B,60,1,1,0,0,ML,SP,60,23.1513083048919,730,2922,Sources,2021
C,1440,0,0,1,1,ML,Persistence,60,62.1,365,2556,Sources,2018
C,360,1,1,0,0,ML,SP,30,39.4,120,7305,Sources,2020
D,1440,0,1,1,0,ImageBased,SP,60,20.3619909502263,365,0,Sources,2015
A,60,1,1,0,0,ML,SP,15,16.21,274,548,Sources,2020
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,28,184,181,PV,2018
C,60,1,1,0,0,ML,SP,60,11.65,365,3285,Sources,2021
C,120,1,1,0,1,Reg,SP,60,32.455,350,700,Sources,2015
B,30,1,1,0,0,ImageBased,PerClim,15,16.16,91,335,Sources,2022
C,2880,1,0,0,1,Ens,Persistence,60,15,184,181,PV,2018
C,2880,1,0,0,1,Ens,Persistence,60,19,184,181,PV,2018
C,360,1,0,0,0,ML,Persistence,60,70.0618415025195,365,730,Sources,2022
C,30,0,1,0,0,ImageBased,PerClim,15,15.24,365,0,Sources,2020
C,360,1,0,0,0,Reg,Persistence,60,69.9610627576729,365,730,Sources,2022
C,2880,1,1,1,0,ImageBased,PerClim,15,30.6,365,0,PV,2021
C,240,1,0,0,0,ML,Persistence,60,47.0434924254765,219,876,Sources,2018
C,45,1,1,0,0,TS,SP,15,12.32,274,548,Sources,2020
D,60,0,0,0,0,ImageBased,SP,10,39.99,731,1096,Sources,2022
C,180,1,1,0,1,Reg,SP,60,15.749,350,700,Sources,2015
C,60,1,1,0,0,ML,SP,60,23.23,365,5114,Sources,2020
C,2880,1,0,0,1,TS,Persistence,60,10,184,181,PV,2018
C,60,1,1,0,1,Hybrid,SP,60,43.5820255355652,90,1460,Sources,2021
C,720,1,1,1,0,ImageBased,PerClim,15,30.1,365,0,PV,2021
C,60,1,1,0,0,ML,SP,60,11.77,365,4383,Sources,2021
B,360,0,1,1,0,ML,SP,60,31.68,91,274,Sources,2016
D,60,1,0,0,0,ML,Persistence,60,23.28,31,730,Sources,2019
D,60,1,0,1,0,ML,Persistence,60,29,365,365,Sources,2016
B,180,1,1,0,0,ML,SP,60,10.7066381156317,183,548,Sources,2015
B,180,1,1,0,1,Reg,SP,60,15.206,350,700,Sources,2015
D,10,1,0,0,0,ML,Persistence,1,75.8268351707448,365,292,Sources,2022
D,30,1,1,0,0,Ens,SP,15,10.35,274,548,Sources,2020
C,15,1,0,1,0,TS,SP,15,5.4,365,853,PV,2021
B,120,1,1,0,1,Reg,SP,60,3.261,350,700,Sources,2015
D,1440,1,0,1,0,NWP,Persistence,60,40.01,731,0,Sources,2019
D,1440,1,1,0,0,ML,Persistence,60,17.1,365,0,Sources,2018
B,5,1,0,0,0,ML,SP,5,7.3,24,42,Sources,2016
C,240,1,1,0,0,ML,SP,15,60,109.5,255.5,Sources,2016
C,5,1,0,0,0,ImageBased,SP,5,25.8,5,129,Sources,2013
C,360,1,1,1,0,Ens,SP,15,14.93,730,730,Sources,2020
C,1440,1,0,0,0,ML,Persistence,360,42,183,365,Sources,2017
B,10,1,1,0,0,ImageBased,SP,1,4.9,41,124,Sources,2017
D,60,1,1,0,0,ML,SP,60,51.3,27,63,Sources,2018
C,60,1,0,0,0,ML,Persistence,60,25.1,183,365,Sources,2017
C,720,1,1,1,0,ImageBased,Persistence,15,39.9,365,0,PV,2021
C,25,1,0,0,0,ML,SP,5,18.7,109.770833333333,154.1875,Sources,2018
D,60,1,0,0,0,ML,Persistence,60,35.42,365,730,Sources,2019
C,120,1,1,0,1,Reg,SP,60,5.649,350,700,Sources,2015
C,15,1,0,0,0,ImageBased,Persistence,1,15.99,365,365,PV,2018
D,1440,1,0,0,0,ML,Persistence,360,33,183,365,Sources,2017
C,180,1,1,0,1,Reg,SP,60,6.702,350,700,Sources,2015
B,1440,1,0,0,0,ML,Persistence,60,46.5431083559998,30,365,Sources,2021
C,60,1,0,0,0,ML,Persistence,60,26.9616230750428,219,876,Sources,2018
C,180,1,1,0,0,ML,SP,60,-1.929,350,700,Sources,2015
C,10,1,0,0,0,ImageBased,SP,5,21.2,109.770833333333,154.1875,Sources,2018
D,90,1,0,0,0,ImageBased,SP,15,3.99,120,0,Sources,2020
C,360,1,1,0,0,TS,Persistence,60,56.0195166231703,365,366,Sources,2015
B,120,1,1,0,0,ML,SP,15,15.6,274,548,Sources,2020
B,1.66666666666667,1,1,0,0,TS,Persistence,0.0166666666666667,5.8,171,171,PV,2015
D,120,1,0,1,0,ML,Persistence,60,37,365,365,Sources,2016
C,15,1,0,0,0,ML,Persistence,15,-18.1,183,365,Sources,2017
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,36,184,181,PV,2018
C,360,1,1,0,0,Hybrid,SP,30,44.66,120,7305,Sources,2020
C,15,1,0,0,0,ML,Persistence,15,-13.1,183,365,Sources,2017
C,5,1,0,0,0,ImageBased,SP,5,13.3,109.770833333333,154.1875,Sources,2018
C,300,1,0,0,0,ML,Persistence,60,47.2794915516974,219,876,Sources,2018
A,15,1,0,0,0,ML,Persistence,15,4.5,183,365,Sources,2017
C,360,0,0,0,0,ImageBased,SP,60,19.4,365,1675,Sources,2018
B,60,1,0,0,0,Reg,Persistence,60,-68.8795323549851,731,730,Sources,2019
B,1440,1,0,0,0,ImageBased,Persistence,360,55.1,183,365,Sources,2017
C,120,1,1,0,1,Reg,SP,60,1.664,350,700,Sources,2015
C,60,1,1,0,0,ImageBased,SP,30,19.91,99,297,Sources,2013
C,240,1,1,0,0,ImageBased,SP,15,33.6,181,731,Sources,2021
D,120,1,1,0,0,ML,SP,15,13.71,274,548,Sources,2020
B,15,1,1,0,0,ImageBased,SP,1,5.8,41,124,Sources,2017
B,120,1,1,0,0,Reg,SP,60,2.337,350,700,Sources,2015
C,180,1,1,1,0,ImageBased,SP,30,38,365,0,Sources,2017
C,180,1,1,0,0,Reg,SP,60,3.684,350,700,Sources,2015
B,1440,1,0,0,0,ML,Persistence,60,27.3579013116802,30,365,Sources,2021
C,360,1,1,1,0,Ens,SP,15,16.74,730,730,Sources,2020
C,60,1,1,0,0,TS,SP,15,11.58,198,396,Sources,2020
E,60,1,0,0,0,ML,Persistence,60,-39.1,183,365,Sources,2017
C,135,1,0,1,0,TS,SP,15,36.02,365,853,PV,2021
A,60,1,1,0,0,Ens,Persistence,60,19,365,183,Sources,2019
C,60,1,1,0,0,Ens_Hyb,SP,60,31.4489827612983,730,2922,Sources,2021
C,720,1,1,1,0,ImageBased,Persistence,15,38.4,365,0,PV,2021
B,60,1,1,0,0,ImageBased,PerClim,15,15.45,92,335,Sources,2022
N,120,1,1,0,1,Reg,SP,60,23.089,350,700,Sources,2015
D,105,1,1,0,0,TS,SP,15,13.92,274,548,Sources,2020
B,60,1,1,0,1,Reg,SP,60,3.491,350,700,Sources,2015
C,105,1,0,1,0,ML,SP,15,22.8,365,853,PV,2021
C,1500,1,0,0,0,TS,Persistence,60,23.9,365,0,PV,2017
D,60,1,1,0,0,Ens,SP,60,15.3,28,64,Sources,2018
N,60,1,1,0,1,Reg,SP,60,8.909,350,700,Sources,2015
C,720,1,1,0,0,Hybrid,SP,60,43.19,120,5114,Sources,2020
C,60,1,1,0,0,ML,SP,30,2.69,120,7305,Sources,2020
B,300,0,1,1,0,Ens,Persistence,15,31.31,731,0,Sources,2019
D,60,1,0,0,0,ML,Persistence,60,32.85,30,730,Sources,2019
C,360,1,0,0,0,ML,Persistence,60,46.5412814791202,73,292,Sources,2019
B,60,1,1,0,0,ML,SP,60,30.64,219,876,Sources,2018
C,240,1,0,0,0,ML,Persistence,60,28.2038675843986,73,292,Sources,2019
B,0.333333333333333,1,1,0,0,TS,Persistence,0.0166666666666667,12.7,171,171,PV,2015
B,60,1,0,0,0,TS,Persistence,60,44.45,365,365,Sources,2019
C,1440,0,1,0,0,ML,Persistence,60,53.93,365,2192,Sources,2019
C,180,1,1,0,0,Reg,SP,60,20.0653687650988,365,730,Sources,2022
C,30,1,0,0,0,ML,SP,5,12.4,91,183,Sources,2015
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,33,184,181,PV,2018
B,2,1,1,0,0,TS,Persistence,0.0166666666666667,4.9,171,171,PV,2015
C,1440,1,0,1,1,ML,SP,60,43.956043956044,731,730,PV,2019
C,360,1,1,1,0,Ens,SP,15,10.88,730,730,Sources,2020
A,120,1,0,1,0,ML,SP,60,9.1,365,366,Sources,2016
C,60,1,0,0,0,ML,Persistence,60,53.2880434782609,731,730,Sources,2019
C,120,1,1,0,1,Reg,SP,60,9.141,350,700,Sources,2015
C,30,1,0,0,0,ML,SP,5,19.9,109.770833333333,154.1875,Sources,2018
B,60,1,1,0,0,TS,SP,60,48.6,365,365,Sources,2022
C,60,1,1,0,0,ML,SP,60,2.167,350,700,Sources,2015
C,60,1,1,0,1,ML,SP,60,22.252656951901,254,1460,Sources,2021
B,60,1,1,0,0,TS,SP,60,43,365,365,Sources,2022
C,1440,1,0,0,0,Ens_Hyb,Persistence,60,27,365,0,PV,2018
A,120,1,1,0,0,ML,Persistence,60,47.6023391812866,365,366,Sources,2015
C,30,1,1,0,0,ML,SP,30,-6.79,365,7305,Sources,2020
C,60,1,0,0,1,TS,SP,60,9.5,120,184,PV,2018
B,1440,1,0,1,0,NWP,Persistence,60,26.02,731,0,Sources,2019
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,30,184,181,PV,2018
D,10,1,1,0,0,ImageBased,Persistence,10,24.5094885815375,365,365,Sources,2021
C,120,1,1,0,1,Reg,SP,60,2.084,350,700,Sources,2015
B,180,1,1,1,0,TS,Persistence,15,10.48,731,0,Sources,2019
B,1440,1,0,1,0,NWP,Persistence,60,31.48,731,0,Sources,2019
N,60,1,1,0,0,ML,Persistence,15,32.271815446339,146,585,Sources,2018
C,180,1,0,0,0,ML,Persistence,60,38.9997374639013,219,876,Sources,2018
C,300,1,1,0,0,ML,Persistence,60,63.4137891211456,365,366,Sources,2015
C,2880,1,0,1,1,TS,Persistence,60,16.9,365,365,PV,2019
C,1,1,0,0,0,ImageBased,Persistence,1,7.37577639751554,18,72,PV,2018
D,60,1,1,0,0,Reg,SP,60,48.9,28,64,Sources,2018
B,15,1,0,0,0,ML,Persistence,15,-38.8,183,365,Sources,2017
C,2880,1,0,0,1,Ens,Persistence,60,20,184,181,PV,2018
C,2880,1,0,0,1,TS,Persistence,60,31,184,181,PV,2018
B,60,1,0,0,0,ML,SP,60,-0.163815644394028,731,730,Sources,2019
D,60,1,1,0,0,ML,SP,60,47.8,27,63,Sources,2018
B,90,1,1,0,0,ImageBased,PerClim,15,-3.31,90,335,Sources,2022
C,360,1,1,1,0,Ens,SP,15,15.26,730,730,Sources,2020
C,25,1,0,0,0,ImageBased,Persistence,5,29.5,165,231,Sources,2019
C,60,1,1,0,0,ML,SP,60,12.722,350,700,Sources,2015
C,60,1,1,0,0,ML,SP,60,18.5488676996424,730,2922,Sources,2021
C,2880,1,0,0,1,Ens,Persistence,60,18,184,181,PV,2018
C,60,1,1,0,1,Reg,SP,60,4.666,350,700,Sources,2015
C,4320,1,0,1,0,ML,SP,15,39.66,365,853,PV,2021
C,1440,1,0,0,0,Ens_Hyb,Persistence,60,27,365,0,PV,2018
C,120,1,0,0,0,ImageBased,SP,60,49.6,180,180,PV,2018
C,75,1,0,1,0,TS,SP,15,15.69,365,853,PV,2021
C,360,1,1,0,0,ML,SP,30,37.4,90,7305,Sources,2020
N,60,1,1,0,0,TS,Persistence,15,27.9839518555667,146,585,Sources,2018
B,360,1,0,0,0,ML,Persistence,60,84.9394407413429,365,1095,Sources,2022
C,180,1,1,0,0,ML,Persistence,60,63.9250713311004,877,3506,Sources,2018
D,10,1,1,0,0,ML,SP,10,7.83,731,1096,Sources,2022
B,120,1,1,0,1,Reg,SP,60,2.627,350,700,Sources,2015
A,180,1,0,1,0,ML,SP,60,15.5,365,366,Sources,2016
C,2880,1,0,1,1,TS,Persistence,60,22.7,365,365,PV,2019
C,15,1,0,0,0,ML,Persistence,15,-67.7,183,365,Sources,2017
N,60,1,1,0,1,Reg,SP,60,20.968,350,700,Sources,2015
C,1440,1,0,0,0,TS,Persistence,60,7,365,0,PV,2018
A,60,1,0,0,1,TS,Persistence,60,36.1435726210351,365,365,Sources,2016
A,180,1,0,1,0,ML,SP,60,18.2,365,366,Sources,2016
A,60,1,1,0,0,ML,SP,60,11.88,365,3285,Sources,2021
D,15,0,1,0,0,ML,Persistence,15,3.6,37,292,Sources,2020
C,60,1,1,0,1,Reg,SP,60,10.951,350,700,Sources,2015
B,120,1,1,0,0,ML,SP,60,12.539,350,700,Sources,2015
A,60,1,0,0,0,ML,Persistence,60,37.5,183,365,Sources,2017
C,2880,1,0,0,1,Ens,Persistence,60,13,184,181,PV,2018
A,60,1,1,0,0,TS,Persistence,60,31.8539915966387,365,366,Sources,2015
C,60,1,1,0,1,Reg,SP,60,10.464,350,700,Sources,2015
B,180,1,1,0,0,Reg,Persistence,60,81.7775974025974,365,1095,Sources,2022
A,1440,1,0,0,0,ML,Persistence,360,11.6,183,365,Sources,2017
B,120,1,1,0,0,ML,SP,60,1.586,350,700,Sources,2015
C,2880,1,0,1,1,TS,Persistence,60,14.5,365,365,PV,2019
C,60,1,1,0,0,ML,SP,60,14.262,350,700,Sources,2015
B,240,1,1,0,0,ML,SP,60,24.390243902439,183,548,Sources,2015
A,60,1,1,0,0,ML,Persistence,60,31.7489495798319,365,366,Sources,2015
A,60,1,1,0,0,Ens,Persistence,60,39,365,183,Sources,2019
B,60,1,1,0,1,Reg,SP,60,5.105,350,700,Sources,2015
B,60,1,0,0,0,TS,Persistence,60,38.8,365,365,Sources,2019
C,25,1,0,0,0,ML,SP,5,23.2,109.770833333333,154.1875,Sources,2018
C,15,1,0,0,0,ImageBased,SP,1,14.09,20,170,PV,2019
B,120,1,1,0,0,ML,SP,60,3.104,350,700,Sources,2015
C,180,1,0,0,0,ML,Persistence,60,24.1589648798521,219,876,Sources,2018
C,180,1,1,0,0,ML,SP,60,7.94,350,700,Sources,2015
B,60,1,1,0,1,Reg,SP,60,16.044,350,700,Sources,2015
A,45,1,1,0,0,ML,SP,15,12.32,30,178.12,PV,2019
B,60,1,1,0,1,ML,SP,60,35.4389958045284,271,1460,Sources,2021
N,1440,1,0,1,0,TS,Persistence,15,47,184,181,PV,2017
C,60,1,1,0,0,Ens_Hyb,SP,60,33.6039928486293,730,2922,Sources,2021
C,30,1,0,1,0,Hybrid,Persistence,30,27.6,109.5,511,PV,2019
D,60,1,1,1,1,ML,SP,15,-7.8,365,365,PV,2017
C,5,1,0,0,0,ImageBased,Persistence,5,14,165,231,Sources,2019
C,2880,1,0,0,1,TS,Persistence,60,19,184,181,PV,2018
D,105,1,1,0,0,Ens,SP,15,13.81,274,548,Sources,2020
C,2880,1,1,1,0,ImageBased,Persistence,15,39.2,365,0,PV,2021
B,60,0,1,1,0,ML,SP,60,9.16,91,274,Sources,2016
C,10,1,0,0,0,ML,SP,10,-8.76237623762375,365,365,Sources,2021
C,1440,1,0,0,0,TS,Persistence,60,1,365,0,PV,2018
C,1440,0,1,0,0,Hybrid,Persistence,60,22.3,365,0,Sources,2020
A,120,1,1,0,0,Ens,SP,15,22.8,274,548,Sources,2020
C,120,1,1,0,0,Ens,SP,15,16.36,274,548,Sources,2020
D,1440,1,0,1,0,NWP,Persistence,60,43.88,731,0,Sources,2019
D,60,1,1,0,0,Ens,Persistence,60,34,365,183,Sources,2019
C,60,1,0,0,0,ML,SP,5,17.7,91,183,Sources,2015
B,60,1,1,0,0,ML,Persistence,60,51.54,366,1095,Sources,2021
C,1440,1,0,0,0,ML,Persistence,360,28.2,183,365,Sources,2017
B,1440,1,1,1,0,Ens,Persistence,60,69.33,210,0,PV,2020
C,360,1,0,0,0,ML,Persistence,60,39.5760280522793,73,292,Sources,2019
C,60,1,0,0,0,ML,Persistence,60,24.7,183,365,Sources,2017
B,60,1,1,0,1,ML,SP,60,32.0918183370974,90,1460,Sources,2021
D,60,1,0,0,0,ML,SP,60,63.72,365,2920,Sources,2016
B,60,1,1,0,1,Reg,SP,60,3.849,350,700,Sources,2015
A,300,1,0,1,0,TS,SP,60,23.9,365,366,Sources,2016
B,1440,1,0,0,0,ML,Persistence,60,40.9498680738786,31,365,Sources,2021
D,10,1,1,0,0,ImageBased,Persistence,10,18.88,10,365,Sources,2021
C,180,1,0,0,0,ML,Persistence,60,24.8490417432397,219,876,Sources,2018
B,180,1,1,0,1,Reg,SP,60,19.171,350,700,Sources,2015
C,60,1,0,1,0,ML,SP,15,0.11,365,853,PV,2021
C,15,0,0,0,0,ImageBased,SP,1,6.2,20,365,PV,2019
C,60,1,1,0,0,ML,SP,60,13.7767495662232,365,730,Sources,2022
D,60,1,0,0,0,ML,Persistence,60,40.81,31,730,Sources,2019
C,60,1,1,0,1,Reg,SP,60,6.502,350,700,Sources,2015
A,60,1,0,0,1,TS,Persistence,60,13.96,365,365,Sources,2016
C,60,0,0,0,0,ImageBased,SP,60,2.4,365,1675,Sources,2018
C,240,1,0,0,0,ML,Persistence,60,46.0668633235005,73,292,Sources,2019
D,90,1,0,0,1,TS,SP,30,12.71,365,365,Sources,2018
C,60,1,0,0,0,ML,Persistence,60,22,183,365,Sources,2017
B,120,0,1,1,0,NWP,Persistence,15,7.28,731,0,Sources,2019
C,2880,1,0,1,1,TS,Persistence,60,22.2,365,365,PV,2019
N,120,1,1,0,1,Reg,SP,60,30.193,350,700,Sources,2015
C,120,1,1,0,0,ML,Persistence,60,51.4767133661492,365,366,Sources,2015
C,2880,1,0,1,1,TS,Persistence,60,20.5,365,365,PV,2019
C,60,1,1,0,1,Reg,SP,60,15.984,350,700,Sources,2015
C,300,1,0,0,0,ML,Persistence,60,45.8630447085456,219,876,Sources,2018
D,50,1,1,0,0,ML,SP,10,25.61,731,1096,Sources,2020
D,60,1,0,0,0,ML,Persistence,60,31.34,30,730,Sources,2019
B,60,1,1,0,0,ImageBased,SP,15,8.1,110,80,Sources,2014
B,30,1,1,0,0,ImageBased,PerClim,15,17.36,92,335,Sources,2022
C,30,1,0,1,0,ML,Persistence,30,3.2,109.5,511,PV,2019
A,120,1,0,0,0,TS,SP,2,13.58,335,30,PV,2016
C,1020,1,1,1,1,TS,Persistence,60,59,90,180,Sources,2021
B,120,1,0,0,0,ML,SP,5,25.7,91,183,Sources,2015
D,60,1,0,0,0,ML,Persistence,60,3.6,183,365,Sources,2017
C,75,1,0,1,0,TS,SP,15,13.44,365,853,PV,2021
D,45,1,1,0,0,ML,SP,15,10.61,274,548,Sources,2020
D,10,1,1,0,0,ML,SP,10,5.87,731,1096,Sources,2020
N,120,1,1,0,0,ML,SP,60,18.371,350,700,Sources,2015
D,1440,0,0,1,0,Ens,Persistence,60,81,730,730,Sources,2020
C,45,1,0,1,0,ML,SP,15,-8.18,365,853,PV,2021
C,1,1,0,0,0,ImageBased,Persistence,1,20.8450704225352,18,72,PV,2018
C,720,1,1,0,0,Hybrid,SP,60,51.96,365,5114,Sources,2020
C,15,1,0,0,0,ImageBased,Persistence,5,29,165,231,Sources,2019
B,180,1,1,0,0,ML,SP,60,22.9445284335388,365,1095,Sources,2022
C,60,1,0,0,0,ML,SP,5,13.6,91,183,Sources,2015
C,15,1,0,0,0,ML,Persistence,15,-21.1,183,365,Sources,2017
A,360,1,1,0,0,ML,SP,60,29.6,365,366,Sources,2015
C,120,1,1,0,0,ML,SP,60,5.556,350,700,Sources,2015
D,60,1,0,0,0,ML,SP,60,73.52,31,2920,Sources,2016
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,36,184,181,PV,2018
C,60,1,1,0,1,Hybrid,SP,60,48.03,365,1460,Sources,2021
C,360,1,0,0,0,TS,Persistence,60,46.0695270905105,219,876,Sources,2018
C,60,1,1,0,1,Reg,SP,60,7.124,350,700,Sources,2015
C,60,1,0,0,0,TS,Persistence,60,21.7521367521368,73,292,Sources,2019
C,180,1,1,0,1,Reg,SP,60,24.157,350,700,Sources,2015
B,60,1,1,0,0,Ens,Persistence,60,35,365,183,Sources,2019
D,120,1,0,0,0,ImageBased,SP,15,10.49,120,0,Sources,2020
C,60,1,1,0,1,ML,SP,60,22.1791878404981,31,1460,Sources,2021
C,2880,1,0,1,1,TS,Persistence,60,9.2,365,365,PV,2019
D,90,1,1,0,0,Ens,SP,15,12.65,274,548,Sources,2020
B,180,1,1,0,0,ML,SP,60,5.242,350,700,Sources,2015
C,180,1,0,0,0,TS,Persistence,60,35.337358886847,219,876,Sources,2018
C,1440,1,0,0,0,ML,Persistence,360,22,183,365,Sources,2017
C,1920,1,0,0,0,TS,Persistence,60,31.2,365,0,PV,2017
C,300,1,1,0,0,ImageBased,SP,15,36.8,181,731,Sources,2021
C,240,1,1,0,0,ML,Persistence,60,67.2635065203891,877,3506,Sources,2018
D,40,0,0,0,0,ImageBased,SP,10,22.41,731,1096,Sources,2020
C,120,1,1,1,0,ImageBased,SP,1,2,730,730,Sources,2020
C,60,1,1,0,0,Hybrid,Persistence,60,57.83,366,730,Sources,2021
D,90,1,1,0,0,Ens,SP,15,12.99,274,548,Sources,2020
D,60,1,0,0,0,ML,Persistence,60,76.53,30,730,Sources,2019
B,1440,1,1,1,0,ML,SP,60,53.71,365,365,PV,2021
B,60,1,1,0,0,ML,SP,60,25.96,219,876,Sources,2018
C,60,1,1,0,1,Reg,SP,60,25.161,350,700,Sources,2015
C,120,1,0,0,0,TS,Persistence,60,29,365,0,PV,2017
C,1440,0,1,1,0,ImageBased,SP,60,26.1538461538462,365,0,Sources,2015
C,180,0,1,0,0,ML,SP,60,4,365,1827,Sources,2021
B,120,1,1,0,1,Reg,SP,60,17.734,350,700,Sources,2015
B,60,1,1,0,0,Ens_Hyb,SP,60,31.1338642396663,730,2922,Sources,2021
D,10,0,0,0,0,ImageBased,Persistence,10,17.66,10,365,Sources,2021
D,60,1,0,0,0,ML,Persistence,60,47.0381849014678,731,730,Sources,2019
C,345,1,1,0,0,ImageBased,SP,15,34.9,181,731,Sources,2021
C,2880,1,0,1,1,ImageBased,Persistence,60,32,184,181,PV,2018
C,2880,1,0,1,1,TS,Persistence,60,23.7,365,365,PV,2019
B,180,1,1,0,0,TS,SP,60,40.3,365,365,Sources,2022
C,1440,1,1,1,1,Ens_Hyb,Persistence,60,29.9927378358751,365,365,Sources,2015
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,29,184,181,PV,2018
C,120,1,0,1,0,ML,SP,15,17.44,365,853,PV,2021
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,33,184,181,PV,2018
A,1440,1,1,0,0,Reg,Persistence,60,53.3,365,1096,Sources,2017
C,120,1,1,0,0,TS,SP,15,15.7,198,396,Sources,2020
D,20,1,1,0,0,ML,SP,10,5.2,731,1096,Sources,2020
C,180,0,0,0,0,ImageBased,SP,60,21.4,365,1675,Sources,2018
C,120,1,1,0,1,Reg,SP,60,17.592,350,700,Sources,2015
A,240,1,0,1,0,ML,SP,60,19.7,365,366,Sources,2016
N,60,1,0,0,0,ML,Persistence,60,29.1255031101354,73,292,Sources,2018
C,240,0,0,0,0,ImageBased,SP,60,18.2,365,1675,Sources,2018
C,1440,0,1,0,0,Hybrid,Persistence,60,16.1,365,0,Sources,2020
D,120,1,0,0,0,ImageBased,SP,15,5.05,120,0,Sources,2020
B,180,1,1,0,1,Reg,SP,60,19.061,350,700,Sources,2015
C,180,1,1,0,1,Reg,SP,60,27.412,350,700,Sources,2015
C,60,1,0,0,0,ML,Persistence,60,-7.39316239316239,73,292,Sources,2019
C,1440,1,1,1,1,Ens_Hyb,Persistence,60,31.0582341891046,365,365,Sources,2015
C,180,1,1,0,1,Reg,SP,60,24.022,350,700,Sources,2015
B,1440,1,0,0,0,ML,Persistence,60,42.4881363244176,31,365,Sources,2021
E,60,1,1,0,0,Ens,Persistence,60,14,365,183,Sources,2019
B,60,1,1,0,0,ML,Persistence,60,66.2982689747004,365,1095,Sources,2022
C,180,1,1,0,0,ImageBased,SP,15,35.1,181,731,Sources,2021
C,60,1,0,0,0,ML,Persistence,60,24.8,183,365,Sources,2017
B,360,1,1,0,0,ML,SP,60,26.6779469825155,183,548,Sources,2015
C,5,1,0,0,0,ImageBased,Persistence,5,38.92,165,231,Sources,2019
D,120,1,0,0,1,ML,SP,30,13.5,365,365,Sources,2018
D,60,1,0,0,0,ML,Persistence,60,41,183,365,Sources,2017
C,120,1,1,0,1,Reg,SP,60,16.114,350,700,Sources,2015
C,360,1,0,0,0,ML,Persistence,60,43.4434782608696,219,876,Sources,2018
D,60,1,1,0,0,Reg,SP,60,3.35,28,64,Sources,2018
C,60,1,1,0,0,ML,SP,30,15.4711430301981,68,267,Sources,2016
C,360,1,1,0,0,TS,SP,60,26.83,365,366,Sources,2015
D,60,1,0,0,0,ML,Persistence,60,41.03,31,730,Sources,2019
C,120,1,0,0,0,TS,Persistence,60,17.7102929320075,73,292,Sources,2019
A,120,1,0,1,0,TS,SP,60,10.2,365,366,Sources,2016
C,720,1,1,0,0,ML,SP,60,36.9,120,5114,Sources,2020
C,10,1,1,0,0,ImageBased,SP,1,11.8,160,479,Sources,2017
C,720,1,1,1,0,ImageBased,Persistence,15,35.3,365,0,PV,2021
C,15,1,0,0,0,ML,Persistence,15,-3.8,183,365,Sources,2017
B,60,1,1,0,0,Ens,Persistence,60,49,365,183,Sources,2019
B,60,1,0,0,0,ML,SP,60,10.5972696245734,365,1095,Sources,2022
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,35,184,181,PV,2018
C,20,1,1,0,0,ImageBased,SP,5,20.2,146,183,Sources,2015
C,360,1,0,0,0,Reg,SP,60,24.984270434136,365,730,Sources,2022
C,75,1,1,0,0,ML,SP,15,12.67,198,396,Sources,2020
B,60,1,1,0,0,ML,Persistence,60,34,365,183,Sources,2019
C,60,1,0,0,1,TS,SP,60,20.6,61,365,Sources,2019
C,60,1,1,0,1,ML,Persistence,15,55.7,109.5,255.5,Sources,2016
B,60,1,1,0,0,ML,SP,60,3.162,350,700,Sources,2015
C,15,1,0,0,0,ImageBased,SP,5,11.4,366,730,Sources,2021
D,15,1,1,0,0,Ens,SP,15,13.04,274,548,Sources,2020
A,90,1,1,0,0,ML,SP,15,19.08,274,548,Sources,2020
C,360,0,0,0,0,ImageBased,SP,60,15.5,365,1675,Sources,2018
D,50,1,1,0,0,ML,SP,10,14.29,731,1096,Sources,2022
B,90,1,1,0,0,ML,SP,15,13.87,274,548,Sources,2020
B,1440,1,1,0,0,ML,Persistence,60,68.9,365,1096,Sources,2017
D,1440,1,1,1,0,ML,SP,15,40.1,365,365,PV,2017
C,120,1,1,0,1,Reg,SP,60,5.431,350,700,Sources,2015
C,60,1,1,0,0,Hybrid,Persistence,60,61.55,366,730,Sources,2021
D,2880,1,1,1,1,ML,SP,15,45.7,365,365,PV,2017
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,24,184,181,PV,2018
D,30,1,1,0,0,TS,SP,15,9.97,274,548,Sources,2020
B,120,0,1,1,0,ML,SP,60,17.08,91,274,Sources,2016
C,1440,0,0,1,1,ML,Persistence,60,53,365,2556,Sources,2018
D,60,1,0,0,0,ImageBased,SP,15,12.2,120,0,Sources,2020
A,600,1,0,0,0,ML,SP,10,19.15,335,30,PV,2016
C,2880,1,0,0,1,Ens,Persistence,60,20,184,181,PV,2018
